gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score,,Random Sampling
male,group E,associate's degree,standard,none,76,71,67,,0.946244063
male,group B,high school,standard,completed,73,71,68,,0.389305609
female,group D,associate's degree,free/reduced,none,52,59,56,,0.331271347
male,group C,some college,free/reduced,none,68,68,61,,0.940526366
male,group A,high school,standard,none,59,52,46,,0.238956098
female,group B,associate's degree,standard,none,49,52,54,,0.393409881
male,group C,high school,standard,none,70,74,71,,0.110629075
male,group D,some college,free/reduced,none,61,47,56,,0.207986084
female,group C,associate's degree,free/reduced,none,60,75,74,,0.08655815
male,group B,some high school,standard,completed,64,53,57,,0.651013382
male,group A,associate's degree,free/reduced,completed,79,82,82,,0.28945938
female,group A,associate's degree,free/reduced,none,65,85,76,,0.031542699
female,group C,associate's degree,standard,none,64,64,70,,0.683581608
female,group C,some college,standard,none,83,83,90,,0.819764589
female,group C,bachelor's degree,standard,none,81,88,90,,0.86120482
female,group B,high school,standard,none,54,64,68,,0.485020019
male,group D,high school,standard,completed,68,64,66,,0.14087552
female,group C,some college,standard,none,54,48,52,,0.393867517
female,group D,some college,free/reduced,completed,59,78,76,,0.617577257
female,group B,some high school,standard,none,66,69,68,,0.54938929
male,group E,some college,standard,none,76,71,72,,0.628811514
female,group D,master's degree,standard,none,74,79,82,,0.693563821
female,group B,associate's degree,standard,completed,94,87,92,,0.729412828
male,group C,some college,free/reduced,none,63,61,54,,0.674658691
female,group E,associate's degree,standard,completed,95,89,92,,0.146727457
female,group D,master's degree,free/reduced,none,40,59,54,,0.333543416
female,group B,some high school,standard,none,82,82,80,,0.736875509
male,group A,high school,standard,none,68,70,66,,0.554186445
male,group B,bachelor's degree,free/reduced,none,55,59,54,,0.705446393
male,group C,master's degree,standard,none,79,78,77,,0.338075626
female,group C,bachelor's degree,standard,none,86,92,87,,0.648323912
male,group D,some college,standard,none,76,71,73,,0.835028938
male,group A,some high school,standard,none,64,50,43,,0.977074383
male,group D,some high school,free/reduced,none,62,49,52,,0.034192886
female,group B,some high school,standard,completed,54,61,62,,0.154680688
female,group B,master's degree,free/reduced,completed,77,97,94,,0.834952344
female,group C,some high school,standard,completed,76,87,85,,0.679725003
female,group D,some college,standard,none,74,89,84,,0.532082695
female,group E,some college,standard,completed,66,74,73,,0.9762834
female,group D,some high school,standard,completed,66,78,78,,0.259397551
female,group B,high school,free/reduced,completed,67,78,79,,0.327628032
male,group D,some college,standard,none,71,49,52,,0.74787608
female,group C,associate's degree,standard,none,91,86,84,,0.021375897
male,group D,bachelor's degree,standard,none,69,58,57,,0.887529135
male,group C,master's degree,free/reduced,none,54,59,50,,0.87566615
male,group C,high school,standard,completed,53,52,49,,0.813783306
male,group E,some college,standard,none,68,60,59,,0.526961836
male,group C,some high school,free/reduced,completed,56,61,60,,0.154482909
female,group C,high school,free/reduced,none,36,53,43,,0.721282652
female,group D,bachelor's degree,free/reduced,none,29,41,47,,0.024973883
female,group C,associate's degree,standard,none,62,74,70,,0.629496457
female,group C,associate's degree,standard,completed,68,67,73,,0.498758223
female,group C,some high school,standard,none,47,54,53,,0.866407605
male,group E,associate's degree,standard,completed,62,61,58,,0.685515948
female,group E,associate's degree,standard,completed,79,88,94,,0.097341134
male,group B,high school,standard,completed,73,69,68,,0.23293763
female,group C,bachelor's degree,free/reduced,completed,66,83,83,,0.926694201
male,group C,associate's degree,standard,completed,51,60,58,,0.113889594
female,group D,high school,standard,none,51,66,62,,0.194015487
male,group E,bachelor's degree,standard,completed,85,66,71,,0.539664091
male,group A,associate's degree,standard,completed,97,92,86,,0.959230008
male,group C,high school,standard,completed,75,69,68,,0.907674857
male,group D,associate's degree,free/reduced,completed,79,82,80,,0.120921843
female,group C,associate's degree,standard,none,81,77,79,,0.286874509
female,group D,associate's degree,standard,none,82,95,89,,0.618397855
female,group D,master's degree,standard,none,64,63,66,,0.355126922
male,group E,some high school,free/reduced,completed,78,83,80,,0.985821303
female,group A,some high school,standard,completed,92,100,97,,0.195736966
male,group C,high school,standard,completed,72,67,64,,0.607919552
female,group C,high school,free/reduced,none,62,67,64,,0.405611753
male,group C,master's degree,standard,none,79,72,69,,0.28455915
male,group C,some high school,free/reduced,none,79,76,65,,0.348228367
male,group B,bachelor's degree,free/reduced,completed,87,90,88,,0.763814431
female,group B,associate's degree,standard,none,40,48,50,,0.732981932
male,group D,some college,free/reduced,none,77,62,64,,0.284657597
male,group E,associate's degree,standard,none,53,45,40,,0.455779262
female,group C,some college,free/reduced,none,32,39,33,,0.535739543
female,group C,associate's degree,standard,completed,55,72,79,,0.132011441
male,group C,master's degree,free/reduced,none,61,67,66,,0.87883793
female,group B,associate's degree,free/reduced,none,53,70,70,,0.45879082
male,group D,some high school,standard,none,73,66,62,,0.562941108
female,group D,some college,standard,completed,74,75,79,,0.758773009
female,group C,some college,standard,none,63,74,74,,0.63873308
male,group C,bachelor's degree,standard,completed,96,90,92,,0.962137782
female,group D,some college,free/reduced,completed,63,80,80,,0.353743595
male,group B,bachelor's degree,free/reduced,none,48,51,46,,0.990831066
male,group B,associate's degree,standard,none,48,43,45,,0.677812525
female,group E,bachelor's degree,free/reduced,completed,92,100,100,,0.414639004
female,group D,master's degree,free/reduced,completed,61,71,78,,0.384532172
male,group B,high school,free/reduced,none,63,48,47,,0.2756618
male,group D,bachelor's degree,free/reduced,none,68,68,67,,0.172845494
male,group B,some college,standard,completed,71,75,70,,0.996390744
male,group A,bachelor's degree,standard,none,91,96,92,,0.544088643
female,group C,some college,standard,none,53,62,56,,0.347698317
female,group C,high school,free/reduced,completed,50,66,64,,0.827949921
female,group E,high school,standard,none,74,81,71,,0.35358222
male,group A,associate's degree,free/reduced,completed,40,55,53,,0.04079631
male,group A,some college,standard,completed,61,51,52,,0.049040764
female,group B,high school,standard,none,81,91,89,,0.854809266
female,group B,some college,free/reduced,completed,48,56,58,,0.341540342
female,group D,master's degree,standard,none,53,61,68,,0.376542416
female,group D,some high school,standard,none,81,97,96,,0.818561733
female,group E,some high school,standard,none,77,79,80,,0.323790291
female,group D,bachelor's degree,free/reduced,none,63,73,78,,0.199506937
female,group D,associate's degree,standard,completed,73,75,80,,0.451870913
female,group D,some college,standard,none,69,77,77,,0.236270502
female,group C,associate's degree,standard,none,65,76,76,,0.435536471
female,group A,high school,standard,none,55,73,73,,0.538815578
female,group C,bachelor's degree,free/reduced,none,44,63,62,,0.074468059
female,group C,some college,standard,none,54,64,65,,0.103092001
female,group A,some high school,standard,none,48,66,65,,0.492443807
male,group C,some college,free/reduced,none,58,57,54,,0.688531136
male,group A,some high school,standard,none,71,62,50,,0.310476658
male,group E,bachelor's degree,standard,none,68,68,64,,0.650792779
female,group E,high school,standard,none,74,76,73,,0.005620839
female,group C,bachelor's degree,standard,completed,92,100,99,,0.819543772
female,group C,bachelor's degree,standard,completed,56,79,72,,0.850754323
male,group B,high school,free/reduced,none,30,24,15,,0.296653914
male,group A,some high school,standard,none,53,54,48,,0.787776743
female,group D,high school,standard,none,69,77,73,,0.18487331
female,group D,some high school,standard,none,65,82,81,,0.659167902
female,group D,master's degree,standard,none,54,60,63,,0.920010388
female,group C,high school,standard,none,29,29,30,,0.423435312
female,group E,some college,standard,none,76,78,80,,0.543399999
male,group D,high school,free/reduced,none,60,57,51,,0.282188164
male,group D,master's degree,free/reduced,completed,84,89,90,,0.648928275
male,group C,some high school,standard,none,75,72,62,,0.463831648
female,group C,associate's degree,standard,none,85,84,82,,0.649593131
female,group C,master's degree,free/reduced,none,40,58,54,,0.861012242
female,group E,some college,standard,none,61,64,62,,0.973783625
female,group B,associate's degree,standard,none,58,63,65,,0.440084348
male,group D,some college,free/reduced,completed,69,60,63,,0.051720234
female,group C,some college,standard,none,58,59,66,,0.788544197
male,group C,bachelor's degree,standard,completed,94,90,91,,0.495139597
female,group C,associate's degree,standard,none,65,77,74,,0.61871014
female,group A,associate's degree,standard,none,82,93,93,,0.136267325
female,group C,high school,standard,none,60,68,72,,0.198987096
female,group E,bachelor's degree,standard,none,37,45,38,,0.154411053
male,group D,bachelor's degree,standard,none,88,78,83,,0.150983579
male,group D,master's degree,standard,none,95,81,84,,0.669071003
male,group C,associate's degree,free/reduced,completed,65,73,68,,0.432002056
female,group C,high school,free/reduced,none,35,61,54,,0.640578493
male,group B,bachelor's degree,free/reduced,none,62,63,56,,0.607372023
male,group C,high school,free/reduced,completed,58,51,52,,0.227828737
male,group A,some college,standard,completed,100,96,86,,0.400029352
female,group E,bachelor's degree,free/reduced,none,61,58,62,,0.407565282
male,group D,some college,standard,completed,100,97,99,,0.774585923
male,group B,associate's degree,free/reduced,completed,69,70,63,,0.465652852
male,group D,associate's degree,standard,none,61,48,46,,0.737492574
male,group D,some college,free/reduced,none,49,57,46,,0.076858485
female,group C,some high school,standard,completed,44,51,55,,0.327432153
male,group D,some college,standard,none,67,64,70,,0.95241956
male,group B,high school,standard,none,79,60,65,,0.650971892
female,group B,bachelor's degree,standard,completed,66,74,81,,0.904144632
female,group C,high school,standard,none,75,88,85,,0.831800005
male,group D,some high school,standard,none,84,84,80,,0.696452415
male,group A,high school,standard,none,71,74,64,,0.684239221
female,group B,high school,free/reduced,completed,67,80,81,,0.573995735
female,group D,some high school,standard,completed,80,92,88,,0.824502263
male,group E,some college,standard,none,86,76,74,,0.805114776
female,group D,associate's degree,standard,none,76,74,73,,0.17805408
male,group D,high school,standard,none,41,52,51,,0.819222151
female,group D,associate's degree,free/reduced,completed,74,88,90,,0.714451529
female,group B,some high school,free/reduced,none,72,81,79,,0.762871253
female,group E,high school,standard,completed,74,79,80,,0.751224432
male,group B,high school,standard,none,70,65,60,,0.56618822
female,group B,bachelor's degree,standard,completed,65,81,81,,0.561575408
female,group D,associate's degree,standard,none,59,70,65,,0.478470116
female,group E,high school,free/reduced,none,64,62,68,,0.807401005
female,group B,high school,standard,none,50,53,55,,0.319280822
female,group D,some college,standard,completed,69,79,81,,0.091593157
male,group C,some high school,free/reduced,completed,51,56,53,,0.716809292
female,group A,high school,standard,completed,68,80,76,,0.914555429
female,group D,some college,standard,completed,85,86,98,,0.37589955
female,group A,associate's degree,standard,completed,65,70,74,,0.236319845
female,group B,some high school,standard,none,73,79,79,,0.597344925
female,group B,some college,standard,none,62,67,67,,0.51874107
male,group C,associate's degree,free/reduced,none,77,67,64,,0.825586664
male,group D,some high school,standard,none,69,66,61,,0.365933155
female,group D,associate's degree,free/reduced,none,43,60,58,,0.337690836
male,group D,associate's degree,standard,none,90,87,85,,0.832760734
male,group C,some college,free/reduced,none,74,77,73,,0.233801457
male,group C,some high school,standard,none,73,66,63,,0.791646819
female,group D,some college,free/reduced,none,55,71,69,,0.409119688
female,group C,high school,standard,none,65,69,67,,0.847597373
male,group D,associate's degree,standard,none,80,63,63,,0.390010733
female,group C,some high school,free/reduced,completed,50,60,60,,0.994949215
female,group C,some college,free/reduced,completed,63,73,71,,0.826410521
female,group B,bachelor's degree,free/reduced,none,77,85,87,,0.089180506
male,group C,some college,standard,none,73,74,61,,0.269147611
male,group D,associate's degree,standard,completed,81,72,77,,0.137039834
female,group C,high school,free/reduced,none,66,76,68,,0.452641383
male,group D,associate's degree,free/reduced,none,52,57,50,,0.109793907
female,group C,some college,standard,none,69,78,76,,0.416987226
female,group C,associate's degree,standard,completed,65,84,84,,0.728749587
female,group D,high school,standard,completed,69,77,78,,0.786609653
female,group B,some college,standard,completed,50,64,66,,0.632483284
female,group E,some college,standard,completed,73,78,76,,0.214369357
female,group C,some high school,standard,completed,70,82,76,,0.001798461
male,group D,associate's degree,free/reduced,none,81,75,78,,0.368621109
male,group D,some college,free/reduced,none,63,61,60,,0.720206159
female,group D,high school,standard,none,67,72,74,,0.896863875
male,group B,high school,standard,none,60,68,60,,0.443685131
male,group B,high school,standard,none,62,55,54,,0.192605168
female,group C,some high school,free/reduced,completed,29,40,44,,0.760172068
male,group B,some college,standard,completed,62,66,68,,0.977764398
female,group E,master's degree,standard,completed,94,99,100,,0.310213243
male,group E,some college,standard,completed,85,75,68,,0.78214035
male,group D,associate's degree,free/reduced,none,77,78,73,,0.508772216
male,group A,high school,free/reduced,none,53,58,44,,0.681236775
male,group E,some college,free/reduced,none,93,90,83,,0.22125857
female,group C,associate's degree,standard,none,49,53,53,,0.634318181
female,group E,associate's degree,free/reduced,none,73,76,78,,0.844070291
female,group C,bachelor's degree,free/reduced,completed,66,74,81,,0.684836156
female,group D,associate's degree,standard,none,77,77,73,,0.432832007
female,group C,some high school,standard,none,49,63,56,,0.400730043
female,group D,some college,free/reduced,none,79,89,86,,0.682295233
female,group C,associate's degree,standard,completed,75,82,90,,0.805427885
female,group A,bachelor's degree,standard,none,59,72,70,,0.577314394
female,group D,associate's degree,standard,completed,57,78,79,,0.731866155
male,group C,high school,free/reduced,none,66,66,59,,0.646999315
female,group E,bachelor's degree,standard,completed,79,81,82,,0.019159819
female,group B,some high school,standard,none,57,67,72,,0.328316598
male,group A,bachelor's degree,standard,completed,87,84,87,,0.403192086
female,group D,some college,standard,none,63,64,67,,0.581617604
female,group B,some high school,free/reduced,completed,59,63,64,,0.309160681
male,group A,bachelor's degree,free/reduced,none,62,72,65,,0.950383129
male,group D,high school,standard,none,46,34,36,,0.963509174
male,group C,some college,standard,none,66,59,52,,0.569647633
male,group D,high school,standard,none,89,87,79,,0.682434695
female,group D,associate's degree,free/reduced,completed,42,61,58,,0.55566031
male,group C,some college,standard,completed,93,84,90,,0.919652793
female,group E,some high school,standard,completed,80,85,85,,0.192278761
female,group D,some college,standard,none,98,100,99,,0.618782655
male,group D,master's degree,standard,none,81,81,84,,0.310094019
female,group B,some high school,standard,completed,60,70,74,,0.365514308
female,group B,associate's degree,free/reduced,completed,76,94,87,,0.025731265
male,group C,associate's degree,standard,completed,73,78,72,,0.657329878
female,group C,associate's degree,standard,completed,96,96,99,,0.469669269
female,group C,high school,standard,none,76,76,74,,0.778377034
male,group E,associate's degree,free/reduced,completed,91,73,80,,0.388866831
female,group C,some college,free/reduced,none,62,72,70,,0.448476521
male,group D,some high school,free/reduced,completed,55,59,59,,0.494310486
female,group B,some high school,free/reduced,completed,74,90,88,,0.733785333
male,group C,high school,standard,none,50,48,42,,0.47490074
male,group B,some college,standard,none,47,43,41,,0.222344178
male,group E,some college,standard,completed,81,74,71,,0.727254991
female,group E,associate's degree,standard,completed,65,75,77,,0.829668625
male,group E,some high school,standard,completed,68,51,57,,0.390286074
female,group D,high school,free/reduced,none,73,92,84,,0.644228541
male,group C,some college,standard,none,53,39,37,,0.392272361
female,group B,associate's degree,free/reduced,completed,68,77,80,,0.504983233
male,group A,some high school,free/reduced,none,55,46,43,,0.954208826
female,group C,some college,standard,completed,87,89,94,,0.905961811
male,group D,some high school,standard,none,55,47,44,,0.627683921
female,group E,some college,free/reduced,none,53,58,57,,0.259378437
male,group C,master's degree,standard,none,67,57,59,,0.629298256
male,group C,associate's degree,standard,none,92,79,84,,0.03589039
female,group B,some college,free/reduced,completed,53,66,73,,0.486353873
male,group D,associate's degree,standard,none,81,71,73,,0.174252077
male,group C,high school,free/reduced,none,61,60,55,,0.719327551
male,group D,bachelor's degree,standard,none,80,73,72,,0.199336012
female,group A,associate's degree,free/reduced,none,37,57,56,,0.648650528
female,group C,high school,standard,none,81,84,82,,0.288981363
female,group C,associate's degree,standard,completed,59,73,72,,0.122757213
male,group B,some college,free/reduced,none,55,55,47,,0.70354758
male,group D,associate's degree,standard,none,72,79,74,,0.017207597
male,group D,high school,standard,none,69,75,71,,0.314964306
male,group C,some college,standard,none,69,64,68,,0.350046052
female,group C,bachelor's degree,free/reduced,none,50,60,59,,0.112444735
male,group B,some college,standard,completed,87,84,86,,0.799804874
male,group D,some high school,standard,completed,71,69,68,,0.752872431
male,group E,some college,standard,none,68,72,65,,0.342002869
male,group C,master's degree,free/reduced,completed,79,77,75,,0.671869384
female,group C,some high school,standard,completed,77,90,85,,0.405171925
male,group C,associate's degree,free/reduced,none,58,55,53,,0.48462044
female,group E,associate's degree,standard,none,84,95,92,,0.213228621
male,group D,some college,standard,none,55,58,52,,0.161740212
male,group E,bachelor's degree,free/reduced,completed,70,68,72,,0.307248518
female,group D,some college,free/reduced,completed,52,59,65,,0.788768753
male,group B,some college,standard,completed,69,77,77,,0.538692829
female,group C,high school,free/reduced,none,53,72,64,,0.342000668
female,group D,some high school,standard,none,48,58,54,,0.208704707
male,group D,some high school,standard,completed,78,81,86,,0.550566572
female,group B,high school,standard,none,62,62,63,,0.408804458
male,group D,some college,standard,none,60,63,59,,0.027500336
female,group B,high school,standard,none,74,72,72,,0.481677268
female,group C,high school,standard,completed,58,75,77,,0.873130841
male,group B,high school,standard,completed,76,62,60,,0.008903546
female,group D,some high school,standard,none,68,71,75,,0.140377325
male,group A,some college,free/reduced,none,58,60,57,,0.859716427
male,group B,high school,standard,none,52,48,49,,0.692460047
male,group D,bachelor's degree,standard,none,75,73,74,,0.782084334
female,group B,some high school,free/reduced,completed,52,67,72,,0.20508141
female,group C,bachelor's degree,free/reduced,none,62,78,79,,0.251274663
male,group B,some college,standard,none,66,65,60,,0.271872019
female,group B,some high school,free/reduced,none,49,58,55,,0.489756515
female,group B,high school,standard,none,66,72,70,,0.774902293
female,group C,some college,free/reduced,none,35,44,43,,0.265998201
female,group A,some college,standard,completed,72,79,82,,0.680705387
male,group E,associate's degree,standard,completed,94,85,82,,0.295323104
female,group D,associate's degree,free/reduced,none,46,56,57,,0.848478494
female,group B,master's degree,standard,none,77,90,84,,0.902507126
female,group B,high school,free/reduced,completed,76,85,82,,0.129241818
female,group C,associate's degree,standard,completed,52,59,62,,0.449333673
male,group C,bachelor's degree,standard,completed,91,81,79,,0.575561607
female,group B,some high school,standard,completed,32,51,44,,0.745652604
female,group E,some high school,free/reduced,none,72,79,77,,0.236206472
female,group B,some college,standard,none,19,38,32,,0.708644484
male,group C,associate's degree,free/reduced,none,68,65,61,,0.022800292
female,group C,master's degree,free/reduced,none,52,65,61,,0.082430249
female,group B,high school,standard,none,48,62,60,,0.480010379
female,group D,some college,free/reduced,none,60,66,70,,0.019927862
male,group D,high school,free/reduced,none,66,74,69,,0.508990111
male,group E,some high school,standard,completed,89,84,77,,0.370386287
female,group B,high school,standard,none,42,52,51,,0.934777259
female,group E,associate's degree,free/reduced,completed,57,68,73,,0.907655112
male,group D,high school,standard,none,70,70,70,,0.124676501
female,group E,associate's degree,free/reduced,none,70,84,81,,0.587492651
male,group E,some college,standard,none,69,60,54,,0.221029088
female,group C,associate's degree,standard,none,52,55,57,,0.394028821
male,group C,some high school,standard,completed,67,73,68,,0.419810529
male,group C,some high school,standard,completed,76,80,73,,0.041449131
female,group E,associate's degree,standard,none,87,94,95,,0.121192656
female,group B,some college,standard,none,82,85,87,,0.722372802
female,group C,some college,standard,none,73,76,78,,0.886153656
male,group A,some college,free/reduced,none,75,81,74,,0.608231817
female,group D,some college,free/reduced,none,64,74,75,,0.594888354
female,group E,high school,free/reduced,none,41,45,40,,0.775923611
male,group C,high school,standard,none,90,75,69,,0.728952998
male,group B,bachelor's degree,standard,none,59,54,51,,0.876721464
male,group A,some high school,standard,none,51,31,36,,0.717013642
male,group A,high school,free/reduced,none,45,47,49,,0.557284353
female,group C,master's degree,standard,completed,54,64,67,,0.639291901
male,group E,some high school,standard,completed,87,84,76,,0.221721759
female,group C,high school,standard,none,72,80,83,,0.536029189
male,group B,some high school,standard,completed,94,86,87,,0.522417089
female,group A,bachelor's degree,standard,none,45,59,64,,0.844655387
male,group D,bachelor's degree,free/reduced,completed,61,70,76,,0.794271774
female,group B,high school,free/reduced,none,60,72,68,,0.195158212
female,group C,some high school,standard,none,77,91,88,,0.040043446
female,group A,some high school,standard,completed,85,90,92,,0.443337243
female,group D,bachelor's degree,free/reduced,none,78,90,93,,0.729470965
male,group E,some college,free/reduced,completed,49,52,51,,0.54792262
female,group B,high school,free/reduced,none,71,87,82,,0.275352126
female,group C,some high school,free/reduced,none,48,58,52,,0.346767723
male,group C,high school,standard,none,62,67,58,,0.556892285
female,group C,associate's degree,free/reduced,completed,56,68,70,,0.79647994
female,group C,some high school,standard,none,65,69,76,,0.220518344
female,group D,some high school,free/reduced,completed,69,86,81,,0.943800884
male,group B,some high school,standard,none,68,54,53,,0.132038143
female,group A,some college,free/reduced,none,61,60,57,,0.383824533
female,group C,bachelor's degree,free/reduced,completed,74,86,89,,0.810907124
male,group A,bachelor's degree,standard,none,64,60,58,,0.391446146
female,group B,high school,standard,completed,77,82,89,,0.497821347
male,group B,some college,standard,none,58,50,45,,0.108918117
female,group C,high school,standard,completed,60,64,74,,0.850347107
male,group E,high school,standard,none,73,64,57,,0.262952519
female,group A,high school,standard,completed,75,82,79,,0.599795442
male,group B,associate's degree,free/reduced,completed,58,57,53,,0.498927721
female,group C,associate's degree,standard,none,66,77,73,,0.29716354
female,group D,high school,free/reduced,none,39,52,46,,0.433066751
male,group C,some high school,standard,none,64,58,51,,0.074250832
female,group B,high school,free/reduced,completed,23,44,36,,0.494955751
male,group B,some college,free/reduced,completed,74,77,76,,0.41192065
female,group D,some high school,free/reduced,completed,40,65,64,,0.24322989
male,group E,master's degree,standard,none,90,85,84,,0.375187059
male,group C,master's degree,standard,completed,91,85,85,,0.380235119
male,group D,high school,standard,none,64,54,50,,0.165175955
female,group C,high school,standard,none,59,72,68,,0.032793916
male,group D,associate's degree,standard,none,80,75,69,,0.930111675
male,group C,master's degree,standard,none,71,67,67,,0.841456175
female,group A,high school,standard,none,61,68,63,,0.566494963
female,group E,some college,standard,none,87,85,93,,0.75271373
male,group E,some high school,standard,none,82,67,61,,0.017828497
male,group C,some high school,standard,none,62,64,55,,0.094908086
female,group B,bachelor's degree,standard,none,97,97,96,,0.450024445
male,group B,some college,free/reduced,none,75,68,65,,0.1779537
female,group C,bachelor's degree,standard,none,65,79,81,,0.406244408
male,group B,high school,standard,completed,52,49,46,,0.293037983
male,group C,associate's degree,free/reduced,none,87,73,72,,0.97124176
female,group C,associate's degree,standard,none,53,62,53,,0.454534757
female,group E,master's degree,free/reduced,none,81,86,87,,0.207410658
male,group D,bachelor's degree,free/reduced,completed,39,42,38,,0.871611263
female,group C,some college,standard,completed,71,71,80,,0.619248884
male,group C,associate's degree,standard,none,97,93,91,,0.423997401
male,group D,some college,standard,completed,82,82,88,,0.06287696
male,group C,high school,free/reduced,none,59,53,52,,0.218151124
male,group B,associate's degree,standard,none,61,42,41,,0.977519563
male,group E,associate's degree,free/reduced,completed,78,74,72,,0.357915472
male,group C,associate's degree,free/reduced,none,49,51,51,,0.555171946
male,group B,high school,standard,none,59,58,47,,0.200863535
female,group C,some college,standard,completed,70,72,76,,0.059756594
male,group B,associate's degree,standard,completed,82,84,78,,0.045474177
male,group E,associate's degree,free/reduced,none,90,90,82,,0.926990466
female,group C,bachelor's degree,free/reduced,none,43,62,61,,0.783775027
male,group C,some college,free/reduced,none,80,64,66,,0.407873247
male,group D,some college,standard,none,81,82,84,,0.043621583
male,group C,some high school,standard,none,57,61,54,,0.476861007
female,group D,some high school,standard,none,59,72,80,,0.846812715
female,group D,associate's degree,standard,none,64,76,74,,0.523013262
male,group C,bachelor's degree,standard,completed,63,64,66,,0.844668995
female,group E,bachelor's degree,standard,completed,71,70,70,,0.204687817
female,group B,high school,free/reduced,none,64,73,71,,0.415436097
male,group D,bachelor's degree,free/reduced,none,55,46,44,,0.651316531
female,group E,associate's degree,standard,none,51,51,54,,0.448694207
female,group C,associate's degree,standard,completed,62,76,80,,0.011867487
female,group E,associate's degree,standard,completed,93,100,95,,0.12472739
male,group C,high school,free/reduced,none,54,72,59,,0.310304309
female,group D,some college,free/reduced,none,69,65,74,,0.368288857
male,group D,high school,free/reduced,none,44,51,48,,0.703515248
female,group E,some college,standard,completed,86,85,91,,0.534158111
female,group E,associate's degree,standard,none,85,92,85,,0.821852088
female,group A,master's degree,free/reduced,none,50,67,73,,0.897805175
male,group D,some high school,standard,completed,88,74,75,,0.162423486
female,group E,associate's degree,standard,none,59,62,69,,0.12812366
female,group E,some high school,free/reduced,none,32,34,38,,0.530231114
male,group B,high school,free/reduced,none,36,29,27,,0.197940313
female,group B,some high school,free/reduced,completed,63,78,79,,0.061283428
male,group D,associate's degree,standard,completed,67,54,63,,0.804495143
female,group D,some high school,standard,completed,65,78,82,,0.409616761
male,group D,master's degree,standard,none,85,84,89,,0.613652475
female,group C,master's degree,standard,none,73,78,74,,0.772990651
female,group A,high school,free/reduced,completed,34,48,41,,0.356952047
female,group D,bachelor's degree,free/reduced,completed,93,100,100,,0.151888717
female,group D,some high school,free/reduced,none,67,84,84,,0.754788509
male,group D,some college,standard,none,88,77,77,,0.953719907
male,group B,high school,standard,none,57,48,51,,0.824672665
female,group D,some college,standard,completed,79,84,91,,0.478904567
female,group C,bachelor's degree,free/reduced,none,67,75,72,,0.142046496
male,group E,bachelor's degree,standard,completed,70,64,70,,0.695394478
male,group D,bachelor's degree,free/reduced,none,50,42,48,,0.214346097
female,group A,some college,standard,none,69,84,82,,0.448881065
female,group C,bachelor's degree,standard,completed,52,61,66,,0.703357759
female,group C,bachelor's degree,free/reduced,completed,47,62,66,,0.286553258
female,group B,associate's degree,free/reduced,none,46,61,55,,0.218994841
female,group E,some college,standard,none,68,70,66,,0.285403979
male,group E,bachelor's degree,standard,completed,100,100,100,,0.093552653
female,group C,high school,standard,none,44,61,52,,0.884982055
female,group C,associate's degree,standard,completed,57,77,80,,0.186611412
male,group B,some college,standard,completed,91,96,91,,0.761873529
male,group D,high school,free/reduced,none,69,70,67,,0.579973853
female,group C,high school,free/reduced,none,35,53,46,,0.839787312
male,group D,high school,standard,none,72,66,66,,0.354549351
female,group B,associate's degree,free/reduced,none,54,65,65,,0.861338474
male,group D,high school,free/reduced,none,74,70,69,,0.515747041
male,group E,some high school,standard,completed,74,64,60,,0.638679512
male,group E,associate's degree,free/reduced,none,64,56,52,,0.049409036
female,group D,high school,free/reduced,completed,65,61,71,,0.929467113
male,group E,associate's degree,free/reduced,completed,46,43,44,,0.460960449
female,group C,some high school,free/reduced,none,48,56,51,,0.269088902
male,group C,some college,free/reduced,completed,67,74,70,,0.579892363
male,group D,some college,free/reduced,none,62,57,62,,0.378045517
male,group D,associate's degree,free/reduced,completed,61,71,73,,0.626929509
male,group C,bachelor's degree,free/reduced,completed,70,75,74,,0.608722091
male,group C,associate's degree,standard,completed,98,87,90,,0.331099212
male,group D,some college,free/reduced,none,70,63,58,,0.874744903
male,group A,associate's degree,standard,none,67,57,53,,0.456159595
female,group E,high school,free/reduced,none,57,58,57,,0.212308056
male,group D,some college,standard,completed,85,81,85,,0.103665521
male,group D,some high school,standard,completed,77,68,69,,0.945345961
male,group C,master's degree,free/reduced,completed,72,66,72,,0.691850786
female,group D,master's degree,standard,none,78,91,96,,0.127770425
male,group C,high school,standard,none,81,66,64,,0.500130667
male,group A,some high school,free/reduced,completed,61,62,61,,0.160774827
female,group B,high school,standard,none,58,68,61,,0.219782207
female,group C,associate's degree,standard,none,54,61,58,,0.38737259
male,group B,high school,standard,none,82,82,80,,0.736834005
female,group D,some college,free/reduced,none,49,58,60,,0.678096599
male,group B,some high school,free/reduced,completed,49,50,52,,0.333924393
female,group E,high school,free/reduced,completed,57,75,73,,0.88118158
male,group E,high school,standard,none,94,73,71,,0.354426104
female,group D,some college,standard,completed,75,77,83,,0.972902272
female,group E,some high school,free/reduced,none,74,74,72,,0.321064021
male,group C,high school,standard,completed,58,52,54,,0.6141717
female,group C,some college,standard,none,62,69,69,,0.9584214
male,group E,associate's degree,standard,none,72,57,62,,0.425441944
male,group C,some college,standard,none,84,87,81,,0.040983409
female,group D,master's degree,standard,none,92,100,100,,0.432113101
female,group D,high school,standard,none,45,63,59,,0.712804078
male,group C,high school,standard,none,75,81,71,,0.198173496
